Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion,Chrome 120.0.0.0,,,17-01-2024 18:10:40,17-01-2024 18:11:24,"43,388s",FAILED
,,,,,,,
Test Cases/Prueba_1/Caso_1,Chrome 120.0.0.0,,,17-01-2024 18:10:40,17-01-2024 18:11:24,"43,141s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,17-01-2024 18:10:41,17-01-2024 18:10:43,"2,750s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 120.0.0.0,,,17-01-2024 18:10:43,17-01-2024 18:10:45,"1,877s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,17-01-2024 18:10:45,17-01-2024 18:10:46,"0,156s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/div_card-up""))",Chrome 120.0.0.0,,,17-01-2024 18:10:46,17-01-2024 18:10:46,"0,739s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/span_Text Box""))",Chrome 120.0.0.0,,,17-01-2024 18:10:46,17-01-2024 18:10:48,"1,801s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserName""))",Chrome 120.0.0.0,,,17-01-2024 18:10:48,17-01-2024 18:10:49,"0,487s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserName""), ""Daniela"")",Chrome 120.0.0.0,,,17-01-2024 18:10:49,17-01-2024 18:10:49,"0,657s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserEmail""), ""daniela@gmail.com"")",Chrome 120.0.0.0,,,17-01-2024 18:10:49,17-01-2024 18:10:50,"0,640s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/textareacurrentAddress""), ""espa̱a"")",Chrome 120.0.0.0,,,17-01-2024 18:10:50,17-01-2024 18:10:50,"0,629s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/textareapermanentAddress""), ""galicia"")",Chrome 120.0.0.0,,,17-01-2024 18:10:50,17-01-2024 18:10:51,"0,593s",PASSED
"scrollToPosition(0, 120)",Chrome 120.0.0.0,,,17-01-2024 18:10:51,17-01-2024 18:10:51,"0,030s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/button_Submit""))",Chrome 120.0.0.0,,,17-01-2024 18:10:51,17-01-2024 18:11:24,"32,465s",FAILED
