Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion,Chrome 120.0.0.0,,,18-01-2024 14:23:40,18-01-2024 14:24:30,"50,010s",FAILED
,,,,,,,
Test Cases/Prueba_1/Caso_1,Chrome 120.0.0.0,,,18-01-2024 14:23:40,18-01-2024 14:24:30,"49,688s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,18-01-2024 14:23:41,18-01-2024 14:23:50,"8,841s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 120.0.0.0,,,18-01-2024 14:23:50,18-01-2024 14:23:51,"1,661s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,18-01-2024 14:23:51,18-01-2024 14:23:52,"0,331s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/div_card-up""))",Chrome 120.0.0.0,,,18-01-2024 14:23:52,18-01-2024 14:23:53,"1,285s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/span_Text Box""))",Chrome 120.0.0.0,,,18-01-2024 14:23:53,18-01-2024 14:23:54,"1,272s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserName""))",Chrome 120.0.0.0,,,18-01-2024 14:23:54,18-01-2024 14:23:55,"0,543s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserName""), ""Daniela"")",Chrome 120.0.0.0,,,18-01-2024 14:23:55,18-01-2024 14:23:55,"0,643s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserEmail""), ""daniela@gmail.com"")",Chrome 120.0.0.0,,,18-01-2024 14:23:55,18-01-2024 14:23:56,"0,638s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/textareacurrentAddress""), ""espa̱a"")",Chrome 120.0.0.0,,,18-01-2024 14:23:56,18-01-2024 14:23:57,"0,633s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/textareapermanentAddress""), ""galicia"")",Chrome 120.0.0.0,,,18-01-2024 14:23:57,18-01-2024 14:23:57,"0,587s",PASSED
"scrollToPosition(0, 120)",Chrome 120.0.0.0,,,18-01-2024 14:23:57,18-01-2024 14:23:57,"0,023s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/button_Submit""))",Chrome 120.0.0.0,,,18-01-2024 14:23:57,18-01-2024 14:24:30,"32,657s",FAILED
