Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion,Chrome 120.0.0.0,,,18-01-2024 14:27:01,18-01-2024 14:27:46,"44,770s",FAILED
,,,,,,,
Test Cases/Prueba_1/Caso_1,Chrome 120.0.0.0,,,18-01-2024 14:27:02,18-01-2024 14:27:46,"44,486s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,18-01-2024 14:27:02,18-01-2024 14:27:06,"4,122s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 120.0.0.0,,,18-01-2024 14:27:06,18-01-2024 14:27:08,"1,922s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,18-01-2024 14:27:08,18-01-2024 14:27:08,"0,135s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/div_card-up""))",Chrome 120.0.0.0,,,18-01-2024 14:27:08,18-01-2024 14:27:09,"0,706s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/span_Text Box""))",Chrome 120.0.0.0,,,18-01-2024 14:27:09,18-01-2024 14:27:10,"1,223s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserName""))",Chrome 120.0.0.0,,,18-01-2024 14:27:10,18-01-2024 14:27:11,"0,788s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserName""), ""Daniela"")",Chrome 120.0.0.0,,,18-01-2024 14:27:11,18-01-2024 14:27:12,"0,610s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/inputuserEmail""), ""daniela@gmail.com"")",Chrome 120.0.0.0,,,18-01-2024 14:27:12,18-01-2024 14:27:12,"0,649s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/textareacurrentAddress""), ""espa̱a"")",Chrome 120.0.0.0,,,18-01-2024 14:27:12,18-01-2024 14:27:13,"0,645s",PASSED
"setText(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/textareapermanentAddress""), ""galicia"")",Chrome 120.0.0.0,,,18-01-2024 14:27:13,18-01-2024 14:27:14,"0,654s",PASSED
"scrollToPosition(0, 120)",Chrome 120.0.0.0,,,18-01-2024 14:27:14,18-01-2024 14:27:14,"0,024s",PASSED
"click(findTestObject(""Object Repository/Caso_1/Page_DEMOQA/button_Submit""))",Chrome 120.0.0.0,,,18-01-2024 14:27:14,18-01-2024 14:27:46,"32,598s",FAILED
